id;name;power;discription;price;categories_id;country
127;Напольный газовый котел Житомир ГО 20СН;20;Мощность номинальная-20 кВт. Назначение котла-Одноконтурный. Материал теплообменника-Сталь. Обогрев до 200кв.м. Вид топлива-Газообразное. Цвет-Белый. Теплоноситель-Вода. Гарантийный срок-12 мес.;300435;2;Украина
128;Напольный газовый котел Житомир ГО 25СН;25;Мощность номинальная-25 кВт. Назначение котла-Одноконтурный. Материал теплообменника-Сталь. Обогрев до 250кв.м. Вид топлива-Газообразное. Цвет-Белый. Теплоноситель-Вода. Гарантийный срок-12 мес.;325975;2;Украина
129;Напольный газовый котел Житомир ГО 31,5СН;31.5;Мощность номинальная-31,5 кВт. Назначение котла-Одноконтурный. Материал теплообменника-Сталь. Обогрев до 310кв.м. Вид топлива-Газообразное. Цвет-Белый. Теплоноситель-Вода. Гарантийный срок-12 мес.;336915;2;Украина
130;Напольный газовый котел Житомир ГО 35СН;35;Мощность номинальная-35 кВт. Назначение котла-Одноконтурный. Материал теплообменника-Сталь. Обогрев до 350кв.м. Вид топлива-Газообразное. Цвет-Белый. Теплоноситель-Вода. Гарантийный срок-12 мес.;430560;2;Украина
131;Напольный газовый котел Житомир ГО 45СН;45;Мощность номинальная-45 кВт. Назначение котла-Одноконтурный. Материал теплообменника-Сталь. Обогрев до 450кв.м. Вид топлива-Газообразное. Цвет-Белый. Теплоноситель-Вода. Гарантийный срок-12 мес.;548181;2;Украина
132;Напольный газовый котел Житомир ГО 60СН;60;Мощность номинальная-60 кВт. Назначение котла-Одноконтурный. Материал теплообменника-Сталь. Обогрев до 600кв.м. Вид топлива-Газообразное. Цвет-Белый. Теплоноситель-Вода. Гарантийный срок-12 мес.;729602;2;Украина
133;Напольный газовый котел Житомир ГО 80СН;80;Мощность номинальная-80 кВт. Назначение котла-Одноконтурный. Материал теплообменника-Сталь. Обогрев до 800кв.м. Вид топлива-Газообразное. Цвет-Белый. Теплоноситель-Вода. Гарантийный срок-12 мес.;1153152;2;Украина
134;Напольный газовый котел Житомир ГО 100СН;100;Мощность номинальная-100 кВт. Назначение котла-Одноконтурный. Материал теплообменника-Сталь. Обогрев до 1000кв.м. Вид топлива-Газообразное. Цвет-Белый. Теплоноситель-Вода. Гарантийный срок-12 мес.;1286297;2;Украина
135;Напольный газовый котел Житомир ГО 120СН;120;Мощность номинальная-120 кВт. Назначение котла-Одноконтурный. Материал теплообменника-Сталь. Обогрев до 1200кв.м. Вид топлива-Газообразное. Цвет-Белый. Теплоноситель-Вода. Гарантийный срок-12 мес.;1794537;2;Украина
136;Напольный газовый котел Житомир ГО 150СН;150;Мощность номинальная-150 кВт. Назначение котла-Одноконтурный. Материал теплообменника-Сталь. Обогрев до 1500кв.м. Вид топлива-Газообразное. Цвет-Белый. Теплоноситель-Вода. Гарантийный срок-12 мес.;2163912;2;Украина
